TransactionID,Date,StoreID,ProductID,Quantity,UnitPrice,CustomerID,PaymentMethod,ProductCategory
T0001,2023-07-11,S003,P001,-8,1496,C271,Cash,Printer
T0009,2023-07-11,S003,P001,4,-1496,C271,Cash,Printer
T0001,2023-07-11,S003,P001,4,1496,C271,Cash,Printer
T0002,2023-10-04,S004,P002,2,1069,C305,Card,Headphones
T0003,2023-06-10,S005,P019,1,966,C391,Cash,Camera
T0004,2023-11-10,S002,P014,5,488,C211,Cash,Tablet
T0005,2023-01-22,S003,P020,3,1065,C168,Cash,Smartphone
T0006,2023-09-10,S004,P010,4,1130,C283,Card,Smartwatch
T0007,2023-08-24,S004,P009,2,547,C296,Online,Monitor
T0008,2023-12-11,S001,P010,1,218,C226,Card,Smartwatch
T0009,2023-02-18,S001,P006,1,1038,C275,Cash,Mouse
T0010,2023-02-28,S002,P017,5,610,C362,Online,Smartphone
T0011,2023-06-19,S001,P006,4,477,C386,Card,Mouse
T0012,2023-07-07,S002,P004,1,468,C255,Cash,Smartwatch
T0013,2023-09-28,S005,P020,5,1420,C169,Cash,Smartphone
T0014,2023-07-09,S002,P003,2,504,C208,Online,Monitor
T0015,2023-06-24,S001,P019,5,763,C135,Card,Camera
T0016,2023-02-20,S005,P018,4,251,C144,Online,Monitor
T0017,2023-12-30,S001,P004,5,228,C243,Online,Smartwatch
T0018,2023-02-24,S002,P008,1,106,C311,Online,Printer
T0019,2023-09-01,S003,P017,1,995,C385,Online,Smartphone
T0020,2023-11-16,S004,P005,3,550,C106,Card,Printer
T0021,2023-05-11,S001,P013,5,788,C318,Online,Monitor
T0022,2023-11-03,S002,P001,2,161,C127,Cash,Printer
T0023,2023-05-15,S005,P013,4,1221,C327,Cash,Monitor
T0024,2023-01-21,S001,P004,3,764,C384,Cash,Smartwatch
T0025,2023-11-25,S001,P014,5,1451,C156,Online,Tablet
T0026,2023-06-16,S004,P003,2,926,C205,Cash,Monitor
T0027,2023-10-01,S002,P005,3,1421,C118,Card,Printer
T0028,2023-03-30,S003,P007,1,1431,C305,Online,Tablet
T0029,2023-11-12,S005,P001,4,1129,C143,Online,Printer
T0030,2023-01-14,S002,P012,5,862,C189,Online,Monitor
T0031,2023-08-30,S005,P011,2,1389,C174,Card,Headphones
T0032,2023-09-22,S001,P008,1,1013,C257,Online,Printer
T0033,2023-12-12,S004,P006,3,1258,C366,Online,Mouse
T0034,2023-02-22,S004,P002,4,1127,C234,Cash,Headphones
T0035,2023-12-06,S003,P019,3,86,C189,Cash,Camera
T0036,2023-04-02,S004,P020,3,1062,C336,Online,Smartphone
T0037,2023-09-21,S001,P020,2,1343,C232,Card,Smartphone
T0038,2023-02-04,S003,P014,1,912,C329,Cash,Tablet
T0039,2023-07-25,S002,P001,5,781,C134,Online,Printer
T0040,2023-03-22,S004,P010,2,1301,C183,Cash,Smartwatch
T0041,2023-02-19,S003,P016,4,859,C232,Cash,Smartwatch
T0042,2023-12-26,S001,P004,3,1074,C304,Card,Smartwatch
T0043,2023-01-02,S005,P011,4,72,C387,Online,Headphones
T0044,2023-02-23,S005,P016,2,845,C358,Cash,Smartwatch
T0045,2023-04-16,S001,P020,2,545,C392,Online,Smartphone
T0046,2023-09-17,S001,P001,5,949,C225,Card,Printer
T0047,2023-11-06,S005,P016,3,474,C251,Card,Smartwatch
T0048,2023-07-10,S003,P019,2,749,C347,Cash,Camera
T0049,2023-08-06,S005,P009,4,67,C275,Card,Monitor
T0050,2023-02-13,S001,P009,5,676,C180,Cash,Monitor
T0051,2023-06-11,S004,P009,4,1112,C207,Online,Monitor
T0052,2023-07-21,S002,P017,3,1283,C400,Cash,Smartphone
T0053,2023-09-27,S004,P012,5,260,C158,Cash,Monitor
T0054,2023-12-17,S004,P013,5,614,C191,Card,Monitor
